employee_id,full_name,first_name,last_name,position_id,position_title,store_id,department_id,birth_date,hire_date,end_date,salary,supervisor_id,education_level,marital_status,gender
1157,Maryann Backlin,Maryann,Backlin,,,0,0,1946-08-15 00:00:00.0,,,0.0000,0,Graduate Degree,S,M
1158,Kevin Sharp,Kevin,Sharp,,,0,0,1912-04-06 00:00:00.0,,,0.0000,0,Graduate Degree,S,M
1159,Michael Torres,Michael,Torres,,,0,0,1951-09-27 00:00:00.0,,,0.0000,0,High School Degree,M,F
1160,Marian Sall,Marian,Sall,,,0,0,1942-09-21 00:00:00.0,,,0.0000,0,High School Degree,S,F
1161,Rose Scott,Rose,Scott,,,0,0,1963-03-26 00:00:00.0,,,0.0000,0,Bachelors Degree,M,M
1162,Elmer Zablah,Elmer,Zablah,,,0,0,1935-08-14 00:00:00.0,,,0.0000,0,High School Degree,S,M
1163,Rosalie Verity,Rosalie,Verity,,,0,0,1965-03-23 00:00:00.0,,,0.0000,0,Graduate Degree,M,F
1164,Jim Pope,Jim,Pope,,,0,0,1954-06-08 00:00:00.0,,,0.0000,0,Graduate Degree,S,F
1165,Barbara Harriman,Barbara,Harriman,,,0,0,1953-04-10 00:00:00.0,,,0.0000,0,Partial College,S,M
1166,Florence Bowen,Florence,Bowen,,,0,0,1929-07-21 00:00:00.0,,,0.0000,0,Partial College,S,M
1167,Calvin Pochert,Calvin,Pochert,,,0,0,1926-08-24 00:00:00.0,,,0.0000,0,Bachelors Degree,S,M
1168,Cecil Stone,Cecil,Stone,,,0,0,1938-08-22 00:00:00.0,,,0.0000,0,Partial College,M,F
1169,Raymond Lippman,Raymond,Lippman,,,0,0,1976-06-27 00:00:00.0,,,0.0000,0,Partial College,M,M
1170,Brian Heiser,Brian,Heiser,,,0,0,1957-08-08 00:00:00.0,,,0.0000,0,Graduate Degree,M,F
1171,Brad Craig,Brad,Craig,,,0,0,1926-09-28 00:00:00.0,,,0.0000,0,Bachelors Degree,S,F
1172,Donny Castano,Donny,Castano,,,0,0,1938-12-17 00:00:00.0,,,0.0000,0,Bachelors Degree,M,M
1173,Edgar Caudill,Edgar,Caudill,,,0,0,1948-11-20 00:00:00.0,,,0.0000,0,Partial College,M,M
1174,Barbara Romero,Barbara,Romero,,,0,0,1946-04-09 00:00:00.0,,,0.0000,0,Partial College,M,M
1175,Sarah Hicks,Sarah,Hicks,,,0,0,1959-08-11 00:00:00.0,,,0.0000,0,High School Degree,M,F
1176,Robert Difatta,Robert,Difatta,,,0,0,1912-05-02 00:00:00.0,,,0.0000,0,Partial High School,M,F
1177,Marilyn Schaidt,Marilyn,Schaidt,,,0,0,1966-07-04 00:00:00.0,,,0.0000,0,Partial College,S,F
1178,Susan Brush,Susan,Brush,,,0,0,1951-11-03 00:00:00.0,,,0.0000,0,Partial High School,S,M
1179,Michelle Cambra,Michelle,Cambra,,,0,0,1931-10-26 00:00:00.0,,,0.0000,0,Partial College,S,F
1180,Doris Mills,Doris,Mills,,,0,0,1964-01-19 00:00:00.0,,,0.0000,0,High School Degree,M,M
1181,Mai Reed,Mai,Reed,,,0,0,1921-05-21 00:00:00.0,,,0.0000,0,Partial College,S,M
1182,Gail Rybolt,Gail,Rybolt,,,0,0,1941-08-14 00:00:00.0,,,0.0000,0,Partial High School,S,M
1183,Carolyn Staton,Carolyn,Staton,,,0,0,1970-05-14 00:00:00.0,,,0.0000,0,High School Degree,S,M
1184,Albert Van Antwerp,Albert,Van Antwerp,,,0,0,1945-02-09 00:00:00.0,,,0.0000,0,Bachelors Degree,S,M
1185,Mimi Springer,Mimi,Springer,,,0,0,1944-07-11 00:00:00.0,,,0.0000,0,Partial College,S,M
1186,Barbara Thorne,Barbara,Thorne,,,0,0,1969-08-27 00:00:00.0,,,0.0000,0,High School Degree,S,F
